MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Arriva Dorellik;1967;5,5;4,86;6;29
Meet John Doe;1941;7,6;7,78;8;76
Arriva Sabata!...;1970;4,1;4,5;4;13
Comes a Horseman;1978;6,8;6,91;7;37
Here Come the Girls;1953;4,5;6;3;3
Arrivano Django e Sartana... e la fine;1970;3,2;3,33;3;12
Arrivano i bersaglieri;1980;5,3;4,83;6;20
Arrivano i dollari!;1957;5,7;5,29;6;38
Flodder;1986;5,8;6;6;7
Arrivano i Gatti;1980;5,2;5;5;49
Arrivano i miei;1983;3,9;3,33;5;9
Arrivano i nostri;1951;5,4;5,5;5;10
Arrivano i Titani;1962;7,2;6,67;8;59
Arise, My Love;1940;7;7;7;5
Au revoir les enfants;1987;7,8;7,96;8;166
Arsenic and Old Lace;1944;8,2;8,23;8;212
Rembrandt;1937;7,6;7,33;8;9
Tiger Claws;1991;5,5;4;7;3
Arthur;1981;6,9;6,7;7;34
De Lift;1983;6,6;7,33;6;62
Nightmare on the 13th Floor;1990;7,6;7;8;10
Asphalt;1929;7,9;8;8;8
Classe tous risques;1960;7,6;7,75;8;56
Ashanti;1979;4,5;3,67;5;19
Asilo di polizia;1986;3,8;4;4;7
Wait Until Spring, Bandini;1989;4,8;4;6;14
Wyoming Mail;1950;6;6;6;4
Assassination;1986;4,8;5;5;18
Le hasard et la violence;1973;4;4;4;4
The Mirror Crack'd;1980;5,9;5,71;6;48
The Killing of Sister George;1968;7,3;7,33;7;28
Secret Sins of the Father;1994;8,5;8;9;3
The Eiger Sanction;1975;6,3;6,15;6;81
L'assassin habite... au 21;1942;7,5;7,5;8;34
The Stone Killer;1973;6,1;6,33;6;24
Friday the 13th: Part 2;1981;6,6;7;6;51
L'assedio dell'Alcazar;1940;6,4;5,8;7;7
Assicurasi vergine;1967;2,3;2;3;10
L'assistente sociale tutto pepe;1981;4,1;4;4;12
Asso;1981;5,2;4,89;5;90
Ace in the Hole;1951;8,5;8,28;9;155
The Card;1952;7,7;8;7;10
True Confessions;1981;6,9;7,25;7;39
Asterix et le coup de menhir;1989;6,8;6,67;7;35
The Quatermass Experiment;1955;7,3;7,5;7;38
Atlantis;1991;6;6;6;13
The Atomic Cafe;1982;7,8;8;8;16
Raid on Rommel;1971;4,7;4;5;14
Gog;1954;5,8;6;6;7
Attack on the Iros Coast;1968;4,3;4;5;3
North Sea Hijack;1979;6,3;7;6;21
Sailor Beware;1951;6,8;6,67;7;9
The Persuaders: London Conspiracy;1971;6,5;6;7;6
Grand Theft Auto;1977;6;6,67;5;15
Attenti al buffone!;1976;4,4;4,29;5;27
The Object of Beauty;1990;5,5;6;5;8
L'attico;1962;5,3;5;6;9
Attila;1953;5;4,33;6;15
Dead Poets Society;1989;7,6;7,39;8;472
Atto di dolore;1990;3,3;2,5;4;9
Total Recall;1990;7,1;7,05;7;279
Fatal Attraction;1987;6,9;7,05;7;165
Auguri e figli maschi;1951;2,5;2;3;3
Australia;1989;6,1;6;6;8
The Shout;1978;7,8;8,14;7;78
Delusion;1990;6,8;8;6;3
Avalanche Express;1979;4,7;5;4;12
Avanti c'e posto!;1942;6,8;6,88;7;32
The Ewok Adventure;1984;5,4;6;5;12
The Poseidon Adventure;1972;7;6,75;7;89
The Divorce of Lady X;1938;7,8;8;8;7
Un'avventura di Salvator Rosa;1940;6,9;6,67;7;10
L'aventure, c'est l'aventure;1972;6,4;5,71;7;20
Desperate Journey;1942;7,2;7;7;11
Harem Holiday;1965;6,5;3;10;3
The Wonderful World of the Brothers Grimm;1964;6,9;6,67;7;8
Alice's Adventures in Wonderland;1972;4;4;4;3
The Adventures of Don Juan;1949;7,3;7,5;7;10
The Adventures of Gerard;1970;5,8;5,5;6;5
The Adventures of Huckleberry Finn;1960;6,7;7;6;24
Le avventure di Mandrin;1952;5,3;5,33;5;9
Le avventure di Mary Read;1961;3,6;4;3;10
Mister Cory;1957;7,5;8;7;4
Oliver Twist;1948;7,9;7,9;8;29
Le avventure di Pinocchio;1947;5,9;5;7;11
The New Adventures of Pippi Longstocking;1988;3,6;5;2;6
Below Zero;1930;7,7;8;7;17
Omar Khayyam;1956;4,2;4;4;4
L'avventuriera del piano di sopra;1941;5,3;4,25;6;14
High Road to China;1982;5,8;6;6;27
Only Angels Have Wings;1939;8,1;8,2;8;51
Allan Quatermain and the Lost City of Gold;1987;5,3;5;6;13
Plymouth Adventure;1952;6,1;6;6;10
Dodge City;1939;6,8;6,83;7;29
L'avventuriero;1967;6;6;6;11
Tendre voyou;1966;5,6;5;6;7
L'avventuriero della Tortuga;1965;4;4;4;3
Macao;1952;6,7;7;6;36
The Return of Bad Men;1948;6;6;6;14
Two Mules for Sister Sarah;1970;7,3;7,36;7;80
Azzurro profondo;1992;4,5;6;3;3
Baby Doll;1956;7,1;6,75;7;24
Baby: Secret of the Lost Legend;1985;6,5;7;6;15
It's Alive!;1974;7,2;7,25;7;34
Bachelor Party;1984;5,2;4,5;6;36
Kiss Me, Stupid;1964;8,3;8,45;8;154
Il bacio;1974;3,8;4;4;10
Killer's Kiss;1955;7,1;7,1;7;169
